"Producto","Nombre Corregido","Precio Estimado (USD)","Descripcion"
"GLITER BASE","Base para Glitter","8.00","Base cremosa que sirve como adhesivo para fijar glitter y pigmentos a la piel, asegurando una larga duración."
"MAXGLOW CONFETI VARIADOS","Esmalte Maxglow - Colección Confeti","5.00","Esmalte de uñas semipermanente con partículas de colores y tamaños variados que crean un efecto de confeti."
"PROTEIN BOND","Protein Bond (Adherente)","3.50","Preparador que garantiza la adherencia de acrílico o esmaltes, nivelando el pH de la uña y aportando nutrientes."
"BASE GEL","Base Gel para Esmalte Semipermanente","8.00","Capa base que se aplica sobre la uña natural para protegerla y mejorar la adherencia y duración del esmalte en gel."
"GEL NIVELADOR","Gel Nivelador (Rubber Base)","12.33","Gel de consistencia espesa (rubber base) que fortalece, protege y corrige imperfecciones de la uña natural."
"JELLI BUILDER","Jelli Builder Gel (Gelatina Constructora)","12.58","Gel constructor con consistencia de gelatina, usado para esculpir, modelar y reforzar uñas, ideal para sistemas Jelly Tips."
"FINISH GEL","Finish Gel (Top Coat)","7.50","Capa final o sellador para esmaltado en gel, que proporciona un acabado brillante, protege el color y previene el desgaste."
"GEL 3 EN 1","Esmalte en Gel 3 en 1","8.00","Esmalte en gel que combina base, color y top coat en un solo paso, simplificando la manicura semipermanente."
"ESMALTE MAXGLOW CHRISTAMS","Esmalte Maxglow - Colección Christmas","4.00","Colección de esmaltes semipermanentes Maxglow con colores y acabados inspirados en la temática navideña."
"ACEITE DE CUTICULA MAX","Aceite para Cutícula Maxglow","2.50","Aceite hidratante para nutrir y suavizar la piel alrededor de las uñas, promoviendo cutículas sanas."
"REMOVEDOR DE CUTICULA MAX","Removedor de Cutícula Maxglow","3.00","Líquido o gel que ablanda y facilita la eliminación del exceso de cutícula de forma suave y sin cortes."
"REMOVEDOR DE CUTICULA MOMBRAY","Removedor de Cutícula Mombray","3.00","Producto específico de la marca Mombray para ablandar y remover el exceso de tejido de la cutícula."
"GEL REMOVEDOR MAXGLOW ROSADO","Gel Removedor de Esmalte Maxglow (Rosado)","6.00","Gel para remover esmalte semipermanente, usualmente con una fórmula que es suave con la uña y la piel."
"REMOVEDOR MAXGLOW MARRON","Removedor de Esmalte Maxglow (Marrón)","6.00","Removedor de esmalte semipermanente de la marca Maxglow, posiblemente con una fragancia o característica distintiva."
"PEGA FOIL","Pegamento para Papel Foil","3.00","Adhesivo especial para transferir el papel foil decorativo a las uñas, creando efectos metalizados y holográficos."
"MONOMEROS 50 ML EMA","Monómero EMA 50 ml","5.00","Líquido acrílico (metacrilato de etilo) en presentación de 50 ml, componente esencial para esculpir uñas acrílicas."
"MONOMEROS 100 ML EMA","Monómero EMA 100 ml","9.00","Líquido acrílico (metacrilato de etilo) en presentación de 100 ml para la construcción de uñas acrílicas."
"LIMPIA PINCEL","Líquido Limpia Pinceles","4.50","Solución líquida diseñada para limpiar y acondicionar los pinceles de acrílico y gel, eliminando residuos y prolongando su vida útil."
"SALOM PRO PEGA","Pegamento para Uñas Salom Pro","2.00","Pegamento de uso profesional de la marca Salom, probablemente para tips o decoraciones de uñas."
"PEGA ACRILICA BRUSH ON","Pegamento Acrílico con Brocha","2.50","Adhesivo para uñas con aplicador de brocha, ideal para pegar tips, strass y realizar reparaciones rápidas."
"CAJAS DE PAPEL ORO /12 UND PLATEADO-DORADO","Papel Foil Decorativo (Oro/Plata) - Caja 12 uds","4.00","Set de 12 cajas de láminas finas de papel metalizado (oro y plata) para decoración de uñas y otras manualidades."
"ACRILICOS BLOSOOM MAXGLOW","Polvo Acrílico Maxglow - Tono Blossom","4.00","Polvo acrílico de la colección 'Blossom' de Maxglow, probablemente con tonalidades florales o efectos especiales."
"ACRILICOS BLUSH MAXGLOW","Polvo Acrílico Maxglow - Tono Blush","4.00","Polvo acrílico de Maxglow en un tono 'Blush' (rubor), ideal para bases de uñas con apariencia natural."
"ACRILICOS CORAL MAXGLOW","Polvo Acrílico Maxglow - Tono Coral","4.00","Polvo acrílico de Maxglow en tono coral, para la construcción de uñas con un color vibrante."
"ACRILICOS PINK MAXGLOW","Polvo Acrílico Maxglow - Tono Pink","4.00","Polvo acrílico de Maxglow en un tono rosado clásico para la construcción de uñas."
"ACRILICOS CLEAR MAXGLOW","Polvo Acrílico Maxglow - Tono Clear","4.00","Polvo acrílico transparente de Maxglow, utilizado para encapsular decoraciones y para la base de la uña."
"ACRILICOS POR CAJAS","Kit de Polvos Acrílicos (Varios Colores)","25.00","Venta de polvos acrílicos en formato de caja o kit, conteniendo múltiples colores o una cantidad mayor."
"ACRILICOS CON COLA DE SIRENA","Polvo Acrílico Efecto Cola de Sirena","5.00","Polvo acrílico premezclado con glitter hexagonal o iridiscente que imita las escamas de una cola de sirena."
"POLIGEL MAXGLOW","Polygel Maxglow","10.00","Híbrido entre gel y acrílico de la marca Maxglow, que ofrece una aplicación moldeable y sin olor fuerte."
"POLIGEL MOMBRAY","Polygel Mombray","10.00","Gel de construcción de la marca Mombray, con una fórmula similar al polygel para esculpir uñas."
"LIQUIDO PARA POLIGEL","Líquido para Polygel (Slip Solution)","5.50","Solución (Slip Solution) que facilita el moldeo y la aplicación del polygel, evitando que se pegue al pincel."
"GEL SOLIDO JELLY BUILDER","Gel Sólido Constructor (Jelly Builder)","13.00","Gel constructor de alta viscosidad que no se autonivela, permitiendo esculpir y dar forma con más control."
"BUILDING GELL","Building Gel (Gel Constructor)","12.00","Gel constructor utilizado para crear extensiones de uñas, dar volumen y reforzar la uña natural."
"ESPUMA PARA PESTAÑAS","Espuma Limpiadora para Pestañas (Lash Shampoo)","7.00","Limpiador en espuma (lash shampoo) para higienizar las extensiones de pestañas y el área de los ojos."
"PIN","Pinzas para Cabello","1.50","Horquillas o pasadores metálicos para sujetar el cabello durante peinados o tratamientos."
"PESTAÑAS PELO A PELO NEGRO","Extensiones de Pestañas Pelo a Pelo (Negro)","5.00","Set de pestañas individuales de color negro para la técnica de extensión de pestañas pelo a pelo."
"PESTAÑAS PELO A PELO COLORES","Extensiones de Pestañas Pelo a Pelo (Colores)","6.00","Set de pestañas individuales en diversos colores para crear looks de fantasía con extensiones."
